TDate,Nat,Name,InOut,ClubFrom,DivFrom,ClubTo,DivTo,Amount,ClubFromID,ClubToID,Year_F,date,month,player_id
19-Jun,Allemagne,Bernd Leno,in,Bayer Leverkusen,Germany,Arsenal,England,25,82,1,2018,19,6,92173
02-Jul,Grèce,Papastathopoulos,in,Dortmund,Germany,Arsenal,England,16,84,1,2018,2,7,22210
10-Jul,Uruguay,Lucas Torreira,in,Sampdoria,Italy,Arsenal,England,30,56,1,2018,10,7,248109
24-Jul,Espagne,Diego Rico,in,Leganés,Spain,Bournemouth,England,15,34,2,2018,24,7,323352
07-Aug,Colombie,Jefferson Lerma,in,Levante,Spain,Bournemouth,England,30,35,2,2018,7,8,133464
05-Jul,Brésil,Bernardo,in,RB Leipzig,Germany,Brighton & Hove,England,10.2,94,3,2018,5,7,302588
17-Jul,Mali,Yves Bissouma,in,Lille,France,Brighton & Hove,England,16.9,67,3,2018,17,7,303096
09-Aug,Espagne,Martín Montoya,in,Valencia CF,Spain,Brighton & Hove,England,7,30,3,2018,9,8,91387
07-Aug,Angleterre,Joe Hart,in,Manchester City,England,Burnley,England,3.9,13,4,2018,7,8,8786
14-Jul,Italie,Jorginho,in,Napoli,Italy,Chelsea,England,57,54,6,2018,14,7,106968
08-Aug,Espagne,Arrizabalaga,in,Athletic Bilbao,Spain,Chelsea,England,80,22,6,2018,8,8,113880
01-Aug,Sénégal,C.  Kouyaté,in,West Ham,England,Crystal Palace,England,10.7,19,7,2018,1,8,66741
24-Jul,Brésil,Richarlison,in,Watford,England,Everton,England,45,18,8,2018,24,7,317804
01-Aug,France,Lucas Digne,in,FC Barcelona,Spain,Everton,England,20.2,28,8,2018,1,8,89925
09-Aug,Portugal,André Gomes,in,FC Barcelona,Spain,Everton,England,25,28,8,2018,9,8,118123
09-Aug,Colombie,Yerry Mina,in,FC Barcelona,Spain,Everton,England,30.3,28,8,2018,9,8,318432
12-Jul,Côte d'Ivoire,J.-M. Seri,in,Nice,France,Fulham,England,30,73,9,2018,12,7,136262
30-Jul,Serbie,A.  Mitrovic,in,Newcastle United,England,Fulham,England,20.2,15,9,2018,30,7,115279
09-Aug,Cameroun,Zambo Anguissa,in,Marseille,France,Fulham,England,33,69,9,2018,9,8,349561
20-Jul,France,Adama Diakhaby,in,Monaco,France,Huddersfield,England,10,70,10,2018,20,7,322750
20-Jul,Pays de Galles,Daniel Ward,in,Liverpool,England,Leicester,England,11.2,12,11,2018,20,7,NA
05-Aug,Algérie,Rachid Ghezzal,in,Monaco,France,Leicester,England,14,70,11,2018,5,8,95423
09-Aug,Turquie,Caglar Soyuncu,in,Freiburg,Germany,Leicester,England,21,88,11,2018,9,8,317998
01-Jul,Brésil,Fabinho,in,Monaco,France,Liverpool,England,50,70,12,2018,1,7,115916
01-Jul,Guinée,Naby Keïta,in,RB Leipzig,Germany,Liverpool,England,55,94,12,2018,1,7,243510
19-Jul,Brésil,Alisson Becker,in,AS Roma,Italy,Liverpool,England,75,42,12,2018,19,7,114147
10-Jul,Algérie,Riyad Mahrez,in,Leicester,England,Manchester City,England,70,11,13,2018,10,7,104749
02-Aug,Japon,Yoshinori Muto,in,Mainz,Germany,Newcastle United,England,10.7,92,15,2018,2,8,132210
10-Jul,Angleterre,Angus Gunn,in,Manchester City,England,Southampton,England,11.3,13,16,2018,10,7,318896
13-Jul,Danemark,J.  Vestergaard,in,M'gladbach,Germany,Southampton,England,20,85,16,2018,13,7,87182
09-Aug,Angleterre,Danny Ings,in,Liverpool,England,Southampton,England,22.2,12,16,2018,9,8,91762
01-Jul,Espagne,Marc Navarro,in,Espanyol,Spain,Watford,England,2,27,18,2018,1,7,280157
02-Jul,Italie,Adam Masina,in,Bologna,Italy,Watford,England,5,44,18,2018,2,7,137512
19-Jun,France,Issa Diop,in,Toulouse FC,France,West Ham,England,25,80,19,2018,19,6,300359
11-Jul,Ukraine,A.  Yarmolenko,in,Dortmund,Germany,West Ham,England,20,84,19,2018,11,7,41672
16-Jul,Brésil,Felipe Anderson,in,Lazio,Italy,West Ham,England,40,53,19,2018,16,7,93026
09-Aug,Espagne,Lucas Pérez,in,Arsenal,England,West Ham,England,4.5,1,19,2018,9,8,135663
09-Aug,Colombie,Carlos Sánchez,in,Fiorentina,Italy,West Ham,England,4.5,48,19,2018,9,8,26720
24-Jul,Portugal,João Moutinho,in,Monaco,France,Wolverhampton,England,5.6,70,20,2018,24,7,16161
25-Jul,Espagne,Joni,in,Atlético Madrid,Spain,Wolverhampton,England,20.6,23,20,2018,25,7,115917
05-Jul,Espagne,Rubén Sobrino,in,Manchester City,England,Alavés,Spain,2,13,21,2018,5,7,323250
