"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount","ClubFromID","ClubToID","Year_F","date","month","player_id","name","teamName","age","positionText","apps","subOn","minsPlayed","manOfTheMatch","yellowCard","redCard","rating","goal","assistTotal","shotsPerGame","keyPassPerGame","dribbleWonPerGame","foulGivenPerGame","offsideGivenPerGame","dispossessedPerGame","totalPassesPerGame","passSuccess","tacklePerGame","interceptionPerGame","foulsPerGame","clearancePerGame","outfielderBlockPerGame","goalOwn"
"19-Jun","Allemagne","Bernd Leno","in","Bayer Leverkusen","Germany","Arsenal","England",25,82,1,2018,19,6,92173,"Bernd Leno","Arsenal",27,"Goalkeeper",32,1,2833,0,0,0,6.6821875,0,0,0,0,0,0.15625,0,0.03125,28.8125,69.1973969631237,0,0.125,0,1,0,0
"02-Jul","Grèce","Papastathopoulos","in","Dortmund","Germany","Arsenal","England",16,84,1,2018,2,7,22210,"Sokratis","Arsenal",31,"Defender",25,0,2199,0,12,0,6.8152,1,2,0.44,0.2,0.24,1,0,0.2,55.48,89.4015861571738,1.68,1.04,1.48,4.32,0.68,0
"10-Jul","Uruguay","Lucas Torreira","in","Sampdoria","Italy","Arsenal","England",30,56,1,2018,10,7,248109,"Lucas Torreira","Arsenal",23,"Midfielder",34,10,2381,0,7,1,6.72147058823529,2,2,0.735294117647059,0.470588235294118,0.382352941176471,2.26470588235294,0,0.823529411764706,46.7647058823529,87.4213836477987,1.91176470588235,1.20588235294118,1.11764705882353,0.911764705882353,0.205882352941176,0
"24-Jul","Espagne","Diego Rico","in","Leganés","Spain","Bournemouth","England",15,34,2,2018,24,7,323352,"Diego Rico","Bournemouth",26,"Defender",12,7,606,0,1,0,6.355,0,0,0.75,0.916666666666667,0.333333333333333,0.916666666666667,0,0.416666666666667,23.75,72.6315789473684,1.16666666666667,1.16666666666667,0.833333333333333,1.41666666666667,0.166666666666667,0
"07-Aug","Colombie","Jefferson Lerma","in","Levante","Spain","Bournemouth","England",30,35,2,2018,7,8,133464,"Jefferson Lerma","Bournemouth",24,"Midfielder",30,1,2511,0,12,0,6.96833333333333,2,0,1.03333333333333,0.5,0.666666666666667,1.7,0.1,0.666666666666667,52.0333333333333,83.2158872517617,1.5,1.8,1.43333333333333,2.8,0.633333333333333,1
"05-Jul","Brésil","Bernardo","in","RB Leipzig","Germany","Brighton & Hove","England",10.2,94,3,2018,5,7,302588,"Bernardo","Brighton",24,"Defender",22,3,1751,0,4,0,6.90136363636364,0,1,0.363636363636364,0.454545454545455,0.636363636363636,1.04545454545455,0.0909090909090909,0.545454545454545,35.6818181818182,72.7388535031847,2.81818181818182,1.54545454545455,0.772727272727273,3,0.636363636363636,0
"17-Jul","Mali","Yves Bissouma","in","Lille","France","Brighton & Hove","England",16.9,67,3,2018,17,7,303096,"Yves Bissouma","Brighton",23,"Midfielder",28,11,1771,1,5,0,6.62821428571429,0,0,1.10714285714286,0.464285714285714,1.67857142857143,0.892857142857143,0.0714285714285714,1.10714285714286,25.5357142857143,81.8181818181818,2.21428571428571,1.17857142857143,1.42857142857143,0.892857142857143,0.178571428571429,0
"09-Aug","Espagne","Martín Montoya","in","Valencia CF","Spain","Brighton & Hove","England",7,30,3,2018,9,8,91387,"Martín Montoya","Brighton",28,"Defender",25,1,2166,0,4,0,6.7116,0,1,0.32,0.72,0.48,0.64,0,0.36,34.32,79.95337995338,2.32,1.92,1.16,2.52,0.4,0
"07-Aug","Angleterre","Joe Hart","in","Manchester City","England","Burnley","England",3.9,13,4,2018,7,8,8786,"Joe Hart","Burnley",32,"Goalkeeper",19,0,1710,0,0,0,6.60736842105263,0,0,0,0.0526315789473684,0,0,0,0,29.7368421052632,44.9557522123894,0,0,0,0.842105263157895,0,0
"14-Jul","Italie","Jorginho","in","Napoli","Italy","Chelsea","England",57,54,6,2018,14,7,106968,"Jorginho","Chelsea",27,"Midfielder",37,0,3165,0,8,0,6.8845945945946,2,0,0.513513513513513,0.810810810810811,0.405405405405405,0.594594594594595,0,0.837837837837838,84.2702702702703,89.2559332905709,2.05405405405405,1.72972972972973,0.891891891891892,0.945945945945946,0.189189189189189,0
"08-Aug","Espagne","Arrizabalaga","in","Athletic Bilbao","Spain","Chelsea","England",80,22,6,2018,8,8,113880,"Kepa Arrizabalaga","Chelsea",25,"Goalkeeper",36,0,3240,1,2,0,6.62666666666667,0,0,0,0,0.0277777777777778,0.111111111111111,0,0.0277777777777778,27.8611111111111,85.4436689930209,0.0277777777777778,0,0,0.388888888888889,0,0
"01-Aug","Sénégal","C.  Kouyaté","in","West Ham","England","Crystal Palace","England",10.7,19,7,2018,1,8,66741,"Cheikhou Kouyaté","Crystal Palace",29,"Midfielder",31,10,1897,0,3,0,6.60677419354839,0,2,0.645161290322581,0.451612903225806,0.387096774193548,0.548387096774194,0.0967741935483871,0.709677419354839,24.6774193548387,80.1307189542484,1.90322580645161,0.516129032258065,1.09677419354839,1,0.354838709677419,0
"24-Jul","Brésil","Richarlison","in","Watford","England","Everton","England",45,18,8,2018,24,7,317804,"Richarlison","Everton",22,"Forward",35,3,2679,3,5,1,6.886,13,1,2.37142857142857,0.6,1.11428571428571,2.08571428571429,0.485714285714286,2.57142857142857,22.6571428571429,68.4741488020177,1.37142857142857,0.457142857142857,0.914285714285714,1.11428571428571,0.0571428571428571,0
