"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount","ClubFromID","ClubToID","Year_F"
"01/07","Pays-Bas","R.  van Persie","in","Netherlands","Other","Arsenal","England",4.2,100,1,2004
"14/07","Suisse","Johan Djourou","in","Switzerland","Other","Arsenal","England",0,102,1,2004
"22/07","France","Mathieu Flamini","in","Marseille","France","Arsenal","England",2.3,70,1,2004
"01/01","Côte d'Ivoire","Emmanuel Eboué","in","Belgium","Other","Arsenal","England",2.2,103,1,2004
"22/05","Danemark","Martin Laursen","in","AC Milan","Italy","Aston Villa","England",4.2,41,2,2004
"05/08","France","Mathieu Berson","in","Nantes","France","Aston Villa","England",2.3,73,2,2004
"31/01","Cameroun","Djemba-Djemba","in","Man United","England","Aston Villa","England",2,13,2,2004
"24/06","Angleterre","Julian Gray","in","Crystal Palace","England","Birmingham City","England",0,8,3,2004
"01/07","Angleterre","Emile Heskey","in","Liverpool","England","Birmingham City","England",0,11,3,2004
"09/07","Pays-Bas","Mario Melchiot","in","Chelsea","England","Birmingham City","England",0,7,3,2004
"12/07","Danemark","J.  Grönkjaer","in","Chelsea","England","Birmingham City","England",3.3,7,3,2004
"31/08","Trinité et Tobago","Dwight Yorke","in","Blackburn","England","Birmingham City","England",0.375,4,3,2004
"27/08","Norvège","M. G.  Pedersen","in","Norway","Other","Blackburn","England",3,110,4,2004
"04/01","Afrique du Sud","Aaron Mokoena","in","Belgium","Other","Blackburn","England",0,103,4,2004
"06/01","Nouvelle-Zélande","Ryan Nelsen","in","United States","Other","Blackburn","England",0,111,4,2004
"21/07","Pays de Galles","Gary Speed","in","Newcastle United","England","Bolton Wanderers","England",1.1,15,5,2004
"15/08","Sénégal","El-Hadji Diouf","in","Liverpool","England","Bolton Wanderers","England",4.8,11,5,2004
"31/01","France","Vincent Candela","in","AS Roma","Italy","Bolton Wanderers","England",0,42,5,2004
"31/05","Danemark","S.  Andersen","in","Denmark","Other","Charlton","England",1,112,6,2004
"02/07","Danemark","D.  Rommedahl","in","Netherlands","Other","Charlton","England",3.5,100,6,2004
"10/07","Maroc","T.  El-Karkouri","in","Paris S-G","France","Charlton","England",0,75,6,2004
"10/08","Angleterre","Danny Murphy","in","Liverpool","England","Charlton","England",3.3,11,6,2004
"11/08","Angleterre","Francis Jeffers","in","Arsenal","England","Charlton","England",3.9,1,6,2004
"07/06","Portugal","Paulo Ferreira","in","Portugal","Other","Chelsea","England",20,106,7,2004
"01/07","République tchèque","Petr Cech","in","Rennes","France","Chelsea","England",13,76,7,2004
"03/07","Côte d'Ivoire","Didier Drogba","in","Marseille","France","Chelsea","England",37,70,7,2004
"12/07","Serbie","Mateja Kezman","in","Netherlands","Other","Chelsea","England",7.5,100,7,2004
"21/07","Portugal","Tiago","in","Portugal","Other","Chelsea","England",15,106,7,2004
"27/07","Portugal","R.  Carvalho","in","Portugal","Other","Chelsea","England",30,106,7,2004
"03/08","Pays-Bas","Arjen Robben","in","Netherlands","Other","Chelsea","England",18.5,100,7,2004
"06/01","République tchèque","Jiri Jarosik","in","Russia","Other","Chelsea","England",12,113,7,2004
"12/07","Argentine","Julián Speroni","in","Scotland","Other","Crystal Palace","England",0.7377,101,8,2004
"13/07","Finlande","Joonas Kolkka","in","M'gladbach","Germany","Crystal Palace","England",0.63,86,8,2004
"12/08","Angleterre","Fitz Hall","in","Southampton","England","Crystal Palace","England",2.3,18,8,2004
"30/09","Grèce","Vassilios Lakis","in","Greece","Other","Crystal Palace","England",0,108,8,2004
"04/08","Australie","Eddy Bosnar","in","Austria","Other","Everton","England",0,107,9,2004
"04/01","Angleterre","James Beattie","in","Southampton","England","Everton","England",9,18,9,2004
"28/01","France","G.  Plessis","in","Lens","France","Everton","England",0,67,9,2004
"18/07","Angleterre","Andy Cole","in","Blackburn","England","Fulham","England",0,4,10,2004
"23/07","Danemark","Claus Jensen","in","Charlton","England","Fulham","England",1.9,6,10,2004
"23/07","Canada","T.  Radzinski","in","Everton","England","Fulham","England",3,9,10,2004
"27/07","Sénégal","Papa Bouba Diop","in","Lens","France","Fulham","England",9,67,10,2004
"01/07","France","Djibril Cissé","in","Auxerre","France","Liverpool","England",20,62,11,2004
"24/07","Espagne","Josemi","in","Málaga","Spain","Liverpool","England",3,33,11,2004
"17/08","Espagne","Antonio Núñez","in","Real Madrid","Spain","Liverpool","England",0,37,11,2004
"20/08","Espagne","Luis García","in","FC Barcelona","Spain","Liverpool","England",9,27,11,2004
"05/01","Argentine","M.  Pellegrino","in","Valencia CF","Spain","Liverpool","England",0,29,11,2004
"13/01","Espagne","F.  Morientes","in","Real Madrid","Spain","Liverpool","England",9.5,37,11,2004
"21/06","Belgique","G.  De Vlieger","in","Netherlands","Other","Manchester City","England",0,100,12,2004
"01/07","Angleterre","Nedum Onuoha","in","United States","Other","Manchester City","England",0,111,12,2004
"01/07","Angleterre","Wright-Phillips","in","United States","Other","Manchester City","England",0,111,12,2004
"25/08","Pays-Bas","R.  Waterreus","in","Netherlands","Other","Manchester City","England",0,100,12,2004
"11/06","Argentine","Gabriel Heinze","in","Paris S-G","France","Man United","England",10,75,13,2004
"01/07","Irlande","Liam Miller","in","Scotland","Other","Man United","England",0,101,13,2004
"31/08","Angleterre","Wayne Rooney","in","Everton","England","Man United","England",37,9,13,2004
"06/07","Pays-Bas","M.  Reiziger","in","FC Barcelona","Spain","Middlesbrough","England",0,27,14,2004
"09/07","Pays-Bas","Hasselbaink","in","Chelsea","England","Middlesbrough","England",0,7,14,2004
"23/07","Angleterre","Ray Parlour","in","Arsenal","England","Middlesbrough","England",0,1,14,2004
"01/07","Pays-Bas","P.  Kluivert","in","FC Barcelona","Spain","Newcastle United","England",0,27,15,2004
"27/07","Angleterre","Nicky Butt","in","Man United","England","Newcastle United","England",3.8,13,15,2004
"10/08","Irlande","Stephen Carr","in","Tottenham","England","Newcastle United","England",3,19,15,2004
"19/09","Norvège","Ronny Johnsen","in","Aston Villa","England","Newcastle United","England",0,2,15,2004
"01/01","Nigeria","C.  Babayaro","in","Chelsea","England","Newcastle United","England",0,7,15,2004
"01/01","France","J.-A. Boumsong","in","Scotland","Other","Newcastle United","England",12,101,15,2004
"25/01","Sénégal","Amdy Faye","in","Portsmouth","England","Newcastle United","England",3,17,15,2004
"02/06","Ecosse","Paul Gallacher","in","Scotland","Other","Norwich City","England",0,101,16,2004
"22/07","Danemark","Thomas Helveg","in","Inter Milan","Italy","Norwich City","England",0,49,16,2004
"05/08","Suède","Mattias Jonson","in","Denmark","Other","Norwich City","England",0,112,16,2004
"20/08","Irlande","Gary Doherty","in","Tottenham","England","Norwich City","England",0,19,16,2004
"31/01","Angleterre","Graham Stuart","in","Charlton","England","Norwich City","England",0,6,16,2004
"26/05","Angleterre","Andy Griffin","in","Newcastle United","England","Portsmouth","England",0,15,17,2004
"01/07","Angleterre","Jason Pearce","in","Charlton","England","Portsmouth","England",0,6,17,2004
"12/07","Angleterre","David Unsworth","in","Everton","England","Portsmouth","England",0,9,17,2004
"28/01","Grèce","K.  Chalkias","in","Greece","Other","Portsmouth","England",0,108,17,2004
"28/01","Grèce","I.  Skopelitis","in","Greece","Other","Portsmouth","England",1.5,108,17,2004
"08/06","Belgique","Jelle van Damme","in","Netherlands","Other","Southampton","England",3,100,18,2004
"09/07","Angleterre","Peter Crouch","in","Aston Villa","England","Southampton","England",3,2,18,2004
"31/08","Suède","A.  Jakobsson","in","Denmark","Other","Southampton","England",1.5,112,18,2004
"04/01","Angleterre","Jamie Redknapp","in","Tottenham","England","Southampton","England",0,19,18,2004
"17/01","Ecosse","Nigel Quashie","in","Portsmouth","England","Southampton","England",3,17,18,2004
"31/01","France","Olivier Bernard","in","Newcastle United","England","Southampton","England",0,15,18,2004
"09/07","Angleterre","Sean Davis","in","Fulham","England","Tottenham","England",0,10,19,2004
"09/07","Portugal","Pedro Mendes","in","Portugal","Other","Tottenham","England",3.5,106,19,2004
"30/07","Suède","Erik Edman","in","Netherlands","Other","Tottenham","England",0,100,19,2004
"07/08","Cameroun","T.  Atouba","in","Switzerland","Other","Tottenham","England",4.5,102,19,2004
"11/08","Maroc","N.  Naybet","in","Depor","Spain","Tottenham","England",0,25,19,2004
"13/08","Portugal","Edson","in","Netherlands","Other","Tottenham","England",0,100,19,2004
"24/08","France","Noé Pamarot","in","Nice","France","Tottenham","England",2.4,74,19,2004
"31/08","Suisse","Reto Ziegler","in","Switzerland","Other","Tottenham","England",1,102,19,2004
"03/06","Danemark","M.  Albrechtsen","in","Denmark","Other","WBA","England",3.7,112,20,2004
"28/07","Angleterre","J.  Greening","in","Middlesbrough","England","WBA","England",1.8,14,20,2004
"11/01","Angleterre","Kevin Campbell","in","Everton","England","WBA","England",0,9,20,2004
"18/08","Espagne","Gaspar","in","Atlético Madrid","Spain","Albacete","Spain",0,23,21,2004
"26/08","Espagne","Jaime","in","Hannover 96","Germany","Albacete","Spain",0,89,21,2004
"01/01","Espagne","Ángel Pindado","in","Belgium","Other","Albacete","Spain",0,103,21,2004
"14/01","Espagne","Santi","in","Atlético Madrid","Spain","Albacete","Spain",0,23,21,2004
"31/01","Uruguay","Horacio Peralta","in","Cagliari","Italy","Albacete","Spain",0,46,21,2004
"15/06","Argentine","Leo Franco","in","Mallorca","Spain","Atlético Madrid","Spain",0,32,23,2004
"07/07","Espagne","Pablo Ibáñez","in","Albacete","Spain","Atlético Madrid","Spain",3.5,21,23,2004
"08/07","Colombie","L. A.  Perea","in","Argentina","Other","Atlético Madrid","Spain",0,105,23,2004
"18/07","Espagne","Antonio López","in","Osasuna","Spain","Atlético Madrid","Spain",0,35,23,2004
"19/07","Uruguay","Marcelo Sosa","in","Russia","Other","Atlético Madrid","Spain",0,113,23,2004
"27/01","Uruguay","Richard Núñez","in","Switzerland","Other","Atlético Madrid","Spain",0,102,23,2004
"01/07","Espagne","Pablo Niño","in","Netherlands","Other","Real Betis","Spain",0,100,24,2004
"13/07","Italie","P.  Castellini","in","Brescia","Italy","Real Betis","Spain",0,45,24,2004
"27/07","Brésil","Ricardo Oliveira","in","Valencia CF","Spain","Real Betis","Spain",4,29,24,2004
"31/01","Argentine","F.  Coloccini","in","AC Milan","Italy","Depor","Spain",4,41,25,2004
"31/08","Espagne","J. E.  Amavisca","in","Depor","Spain","Espanyol","Spain",0,25,26,2004
"22/06","Brésil","Belletti","in","Villarreal","Spain","FC Barcelona","Spain",4,40,27,2004
"29/06","France","Ludovic Giuly","in","Monaco","France","FC Barcelona","Spain",8.5,72,27,2004
"30/06","Suède","Henrik Larsson","in","Scotland","Other","FC Barcelona","Spain",0,101,27,2004
"03/07","Cameroun","Samuel Eto'o","in","Mallorca","Spain","FC Barcelona","Spain",27,32,27,2004
"06/07","Portugal","Deco","in","Portugal","Other","FC Barcelona","Spain",15,106,27,2004
"29/07","Brésil","Edmílson","in","Lyon","France","FC Barcelona","Spain",8,69,27,2004
"24/01","Italie","D.  Albertini","in","Atalanta","Italy","FC Barcelona","Spain",0,43,27,2004
"28/01","Argentine","Maxi López","in","Argentina","Other","FC Barcelona","Spain",6.5,105,27,2004
"29/06","Espagne","Carlos Aranda","in","Albacete","Spain","Sevilla FC","Spain",0.725,21,28,2004
"01/07","Espagne","Jordi López","in","Real Madrid","Spain","Sevilla FC","Spain",0,37,28,2004
"07/07","Brésil","Renato","in","Brazil","Other","Sevilla FC","Spain",0,99,28,2004
"21/01","Brésil","Adriano","in","Brazil","Other","Sevilla FC","Spain",2.1,99,28,2004
"07/07","Italie","B.  Corradi","in","Lazio","Italy","Valencia CF","Spain",10,51,29,2004
"07/07","Italie","Stefano Fiore","in","Lazio","Italy","Valencia CF","Spain",8,51,29,2004
"20/07","Italie","Marco Di Vaio","in","Juventus","Italy","Valencia CF","Spain",10.5,50,29,2004
"21/07","Italie","E.  Moretti","in","Bologna","Italy","Valencia CF","Spain",0,44,29,2004
"27/07","Portugal","Marco Caneira","in","Bordeaux","France","Valencia CF","Spain",2,64,29,2004
"01/07","Cameroun","Daniel Kome","in","Numancia","Spain","Getafe","Spain",0,34,30,2004
"30/07","Espagne","Riki","in","Real Madrid","Spain","Getafe","Spain",0.3,37,30,2004
"01/07","Espagne","J. A.  Culebras","in","Numancia","Spain","Levante","Spain",0,34,31,2004
"02/07","Suède","Johan Mjällby","in","Scotland","Other","Levante","Spain",0,101,31,2004
"16/08","Bulgarie","V.  Manchev","in","Lille","France","Levante","Spain",2.2,68,31,2004
"30/06","Suisse","Patrick Müller","in","Lyon","France","Mallorca","Spain",0,69,32,2004
